tldr 1.1.0-3
tlp 1.3.1-2
tor-browser 10.0.15-1
traceroute 2.1.0-5
transcode 1.1.7-37
tree 1.8.0-2
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-droid 20121017-9
ttf-google-sans 1-1
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-11
ttf-liberation 2.1.2-1
ttf-raleway 4.101-1
udiskie 2.3.2-1
udisks2 2.9.1-1
unarchiver 1.10.7-2
usb_modeswitch 2.6.1-1
usbip 5.10-2
usbutils 013-1
util-linux 2.36.1-4
vcdimager 2.0.1-4
vcvrack-bin 1.1.6-1
vdpauinfo 1.4-1
vi 1:070224-4
vimix-cursors 2020.02.24-4
vimpager 2.06-5
visual-studio-code-bin 1.55.0-2
vlc 3.0.12-1
wallpapers-2018 1.2-1
wallpapers-juhraya 1.1-2
wget 1.21.1-1
which 2.21-5
wireguard-tools 1.0.20210424-1
wpa_supplicant 2:2.9-7
xdg-desktop-portal 1.8.0-1
xdg-desktop-portal-kde 5.20.5-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 0.30.0-1
xf86-input-void 1.4.1-5
xfsprogs 5.10.0-1
xkb-switch 1.6.0-1
xorg-server 1.20.10-3
xorg-twm 1.0.11-1
xorg-xev 1.2.4-1
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkill 1.0.5-2
xseticon 0.1+bzr14-1
xz 5.2.5-1
yakuake 20.12.2-1
yakyak-git v1.5.12.rolling.beta.r0.gdb74d15-1
youtube-dl 2021.02.04.1-1
zensu 0.3-1
